Cidade,Nome,Endereco,Tipo_de_Doacao,Horario
São Paulo,Banco de Alimentos Central,"Rua X, 123",Comida,"Segunda a Sexta, 9h-17h"
São Paulo,Brechó Solidário,"Avenida Y, 456",Roupas,"Terça a Sábado, 10h-18h"
Rio de Janeiro,Centro de Assistência Social,"Rua Z, 789","Alimentos, roupas, utensílios domésticos","Segunda a Sexta, 8h-12h e 13h-17h"
Rio de Janeiro,Abrigo de Animais,"Rua W, 321","Ração, medicamentos, brinquedos para animais","Segunda a Sábado, 9h-16h"
Belo Horizonte,Hospital Infantil,"Avenida V, 1011","Brinquedos, livros, materiais para pintura","Terça e Quinta, 14h-16h"
Belo Horizonte,Lar de Idosos,"Rua U, 567","Roupas, calçados, produtos de higiene pessoal","Segunda a Domingo, 9h-18h"
Curitiba,Creche,"Rua T, 234","Fraldas, lenços umedecidos, papinhas infantis","Segunda a Sexta, 7h-17h"
Curitiba,Escola Pública,"Rua S, 890","Materiais escolares, livros infantis, brinquedos educativos","Segunda a Sexta, 7h-13h"
Porto Alegre,ONG de Apoio a Refugiados,"Rua R, 456","Alimentos, roupas, produtos de higiene pessoal","Segunda a Sexta, 9h-17h"
Porto Alegre,Igreja,"Rua Q, 123","Cestas básicas, roupas, calçados",A combinar com a igreja
Manaus,Abrigo de Animais Peludos Sem Teto,"Rua dos Colibris, 123","Ração, medicamentos, brinquedos para animais","Segunda a Sábado, 9h-17h"
Salvador,Creche Tia Lurdes,"Beco das Flores, 456","Fraldas, lenços umedecidos, papinhas infantis, livros infantis","Segunda a Sexta, 7h-16h"
Curitiba,ONG Amigos da Natureza,"Rua das Araucárias, 789","Mudas de árvores, sementes, adubo orgânico","Terça, Quinta e Sábado, 9h-13h"
Porto Alegre,Asilo Lar do Sossego,"Avenida dos Ipês, 1011","Roupas, calçados, produtos de higiene pessoal, livros para leitura","Segunda a Domingo, 8h-20h"
Fortaleza,Centro de Apoio à Criança e ao Adolescente (CACA),"Rua das Dunas, 234","Brinquedos educativos, materiais escolares, livros infantis","Terça e Quinta, 14h-17h"
Natal,Hospital do Coração,"Avenida da Praia, 567","Brinquedos, livros, revistas, jogos de tabuleiro","Segunda a Sexta, 10h-18h"
Belém,Lar dos Idosos Vovó Zizi,"Travessa do Açaí, 890","Roupas, calçados, produtos de higiene pessoal, alimentos não perecíveis","Segunda a Sábado, 8h-16h"
Florianópolis,Projeto Reciclando Sonhos,"Rua das Gaivotas, 123","Materiais recicláveis (papel, plástico, metal, vidro)","Segunda a Sexta, 9h-17h"
Goiânia,Associação Mãos Unidas,"Rua das Rosas, 456","Alimentos não perecíveis, produtos de higiene pessoal, roupas em bom estado","Segunda a Sexta, 8h-12h e 13h-17h"
Maceió,Abrigo SOS Crianças,"Rua dos Coqueiros, 789","Brinquedos, livros, materiais escolares, roupas infantis","Terça e Quinta, 14h-17h"
Campo Grande,Centro Espírita Luz da Caridade,"Rua dos Girassóis, 1011","Alimentos não perecíveis, roupas em bom estado, produtos de limpeza","Terça, Quinta e Sábado, 9h-13h"
Teresina,ONG Patinhas Quentes,"Rua das Acácias, 234","Ração, medicamentos, casinhas para animais","Segunda a Sábado, 9h-17"
Aracaju,Lar de Idosos Aconchego do Lar,"Rua das Mangueiras, 567","Roupas, calçados, produtos de higiene pessoal, livros para leitura","Segunda a Domingo, 8h-20h"
São Luís,Creche Tia Bete,"Rua dos Cravos, 890","Fraldas, lenços umedecidos, papinhas infantis, livros infantis","Segunda a Sexta, 7h-16h"
Cuiabá,Asilo Vovô João,"Rua dos Lírios, 123","Roupas, calçados, produtos de higiene pessoal, livros para leitura","Segunda a Domingo, 8h-20"
Rio Branco,Centro de Apoio à Juventude (CAJ),"Rua das Orquídeas, 456","Livros, materiais escolares, instrumentos musicais, materiais esportivos","Terça e Quinta, 14h-17h"
Boa Vista,Hospital Infantil Esperança,"Rua dos Girassóis, 789","Brinquedos, livros, revistas, jogos de tabuleiro","Segunda a Sexta, 10h-18h"
São Paulo,Centro de Assistência Social da Prefeitura de São Paulo,Consulte o site da prefeitura para encontrar a unidade mais próxima de você,"Alimentos não perecíveis, roupas em bom estado, produtos de higiene pessoal, utensílios domésticos","Segunda a Sexta, das 8h às 17h"
São Paulo,Abrigo de Animais Anjos Peludos,"Rua Z, 789","Ração para cães e gatos, medicamentos veterinários, brinquedos para animais, cobertores, toalhas","Segunda a Sábado, das 9h às 16h"
São Paulo,Hospital Infantil Dr. Zinho,"Rua W, 321","Brinquedos, livros infantis, materiais para pintura, jogos educativos","Terça e Quinta, das 14h às 16h"
São Paulo,Lar de Idosos Vovó Alice,"Rua U, 567","Roupas em bom estado para idosos, calçados, produtos de higiene pessoal, livros para leitura","Segunda a Domingo, das 8h às 18h"
São Paulo,Creche Tia Ana,"Rua T, 234","Fraldas descartáveis, lenços umedecidos, papinhas infantis, leite em pó, roupas e brinquedos para bebês e crianças pequenas","Segunda a Sexta, das 7h às 17h"
São Paulo,Escola Pública Professora Maria,"Rua S, 890","Materiais escolares (cadernos, lápis, canetas, etc.), livros infantis, jogos educativos","Segunda a Sexta, das 7h às 13h"
São Paulo,ONG Missão Resgate,"Rua R, 456","Alimentos não perecíveis, roupas em bom estado, produtos de higiene pessoal, cobertores, toalhas","Segunda a Sexta, das 9h às 17h"
São Paulo,Igreja Comunidade do Amor,"Rua Q, 123","Cestas básicas com alimentos não perecíveis, roupas em bom estado, calçados, produtos de higiene pessoal",A combinar com a igreja
São Paulo,Restaurante Refetório Social,"Rua P, 987","Sopas, pratos quentes, pães, frutas","Segunda a Domingo, das 12h às 14h"
São Paulo,Casa de Acolhimento Luz do Amanhã,"Rua O, 654","Alimentos não perecíveis, roupas em bom estado, produtos de higiene pessoal, cobertores, travesseiros","Segunda a Sexta, das 9h às 17h"
São Paulo,Projeto Mãos Unidas,"Rua N, 321","Alimentos não perecíveis, roupas em bom estado, calçados, materiais de construção, utensílios domésticos","Segunda a Sábado, das 8h às 16h"
São Paulo,Centro de Apoio à Criança e ao Adolescente (CACA),,"Rua M, 123 Brinquedos educativos, materiais escolares, livros infantis, roupas infantis","Terça e Quinta, das 14h às 17h"
Porto Alegre,Banco de Alimentos Regional do RS,"Avenida dos Plátanos, 123",Alimentos não perecíveis,"Segunda a Sexta, das 8h às 16h"
Porto Alegre,Brechó Social Anjos da Guarda,"Rua das Flores, 456","Roupas em bom estado, calçados, acessórios","Terça a Sábado, das 10h às 18h"
Porto Alegre,Caritas Diocesana,"Rua da Caridade, 789","Alimentos não perecíveis, roupas em bom estado, produtos de higiene pessoal, utensílios domésticos","Segunda a Sexta, das 9h às 17h"
Canoas,Albergue São Francisco,"Rua da Fraternidade, 123","Alimentos não perecíveis, roupas em bom estado, cobertores, produtos de higiene pessoal","Segunda a Domingo, das 8h às 18h"
